Ex: 1	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 49	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 50	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 51	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 52	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 53	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 54	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 55	 True Labels: [1]	 MINAS-BR Prediction: [1, 2]
Ex: 56	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 57	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 58	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 59	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 60	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 61	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 62	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 63	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 64	 True Labels: [0]	 MINAS-BR Prediction: unknwon
Ex: 65	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 66	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 67	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 68	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 69	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 70	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 71	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 72	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 73	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 74	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 75	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 76	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 77	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 78	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 79	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 80	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 81	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 82	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 83	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 84	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 85	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 86	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 87	 True Labels: [1]	 MINAS-BR Prediction: [1, 2]
Ex: 88	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 89	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 90	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 91	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 92	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 93	 True Labels: [1]	 MINAS-BR Prediction: [1, 3]
Ex: 94	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 95	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 96	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 97	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 98	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 99	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 100	 True Labels: [1]	 MINAS-BR Prediction: [1, 2]
Ex: 101	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 102	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 103	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 104	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 105	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 106	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 107	 True Labels: [0, 4]	 MINAS-BR Prediction: [4]
Ex: 108	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 109	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 110	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 111	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 112	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 113	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 114	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 115	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 116	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 117	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 118	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 119	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 120	 True Labels: [1]	 MINAS-BR Prediction: [1, 2]
Ex: 121	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 122	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 123	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 124	 True Labels: [1]	 MINAS-BR Prediction: [1, 2]
Ex: 125	 True Labels: [1, 2, 3]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 126	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 127	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 128	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 129	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 130	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 131	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 132	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 133	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 134	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 135	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 136	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 137	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 138	 True Labels: [2]	 MINAS-BR Prediction: unknwon
Ex: 139	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 140	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 141	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 142	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 143	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 144	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 145	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 146	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 147	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 148	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 149	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 150	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 151	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 152	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 153	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 154	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 155	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 156	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 157	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 158	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 159	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 160	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 161	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 162	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 163	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 164	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 165	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 166	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 167	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 168	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 169	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 170	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 171	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 172	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 173	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 174	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 175	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 176	 True Labels: [2]	 MINAS-BR Prediction: unknwon
Ex: 177	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 178	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 179	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 180	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 181	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 182	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 183	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 184	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 185	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 186	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 187	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 188	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 189	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 190	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 191	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 192	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 193	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 194	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 195	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 196	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 197	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 198	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 199	 True Labels: [1, 2]	 MINAS-BR Prediction: [2]
Ex: 200	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 201	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 202	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 203	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 204	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 205	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 206	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 207	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 208	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 209	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 210	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 211	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 212	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 213	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 214	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 215	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 216	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 217	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 218	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 219	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 220	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 221	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 222	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 223	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 224	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 225	 True Labels: [3]	 MINAS-BR Prediction: unknwon
Ex: 226	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 3]
Ex: 227	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 228	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 229	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 230	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 231	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 232	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 233	 True Labels: [1, 3]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 234	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 235	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 236	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 237	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 238	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 239	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 240	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 241	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 242	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 243	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 244	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 245	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 246	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 247	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 248	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 249	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 250	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 251	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 252	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 253	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 254	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 255	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 256	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 257	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 258	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 259	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 260	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 261	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 262	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 263	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 264	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 265	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 266	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 267	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 268	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 269	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 270	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 271	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 272	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 273	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 274	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 275	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 276	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 277	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 278	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 279	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 280	 True Labels: [1]	 MINAS-BR Prediction: [1]
Ex: 281	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 282	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 283	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 284	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 285	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 286	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 287	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 288	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 289	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 290	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 291	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 292	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 293	 True Labels: [1]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 294	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 295	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 296	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 297	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 298	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 299	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 300	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 301	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 302	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 303	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 304	 True Labels: [0]	 MINAS-BR Prediction: [0, 4]
Ex: 305	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 306	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 307	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 308	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 309	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 310	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 311	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 312	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 313	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 314	 True Labels: [1, 2]	 MINAS-BR Prediction: unknwon
Ex: 315	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 316	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 317	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 318	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 319	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 320	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 321	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 322	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 323	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 324	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 325	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 326	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 327	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 328	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 329	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 330	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 331	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 332	 True Labels: [1, 2]	 MINAS-BR Prediction: [2]
Ex: 333	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 334	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 335	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 336	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 337	 True Labels: [2]	 MINAS-BR Prediction: unknwon
Ex: 138	 True Labels: [2]	 MINAS-BR Prediction: [1]	 extension_prediction 
Ex: 176	 True Labels: [2]	 MINAS-BR Prediction: [1]	 extension_prediction 
Ex: 314	 True Labels: [1, 2]	 MINAS-BR Prediction: [1]	 extension_prediction 
Ex: 337	 True Labels: [2]	 MINAS-BR Prediction: [1]	 extension_prediction 
Ex: 138	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]	 extension_prediction 
Ex: 176	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]	 extension_prediction 
Ex: 314	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]	 extension_prediction 
Ex: 337	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]	 extension_prediction 
Ex: 338	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 339	 True Labels: [3]	 MINAS-BR Prediction: [1, 3]
Ex: 340	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 341	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 342	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 343	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 344	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 345	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 346	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 347	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 348	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 349	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 350	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 351	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 352	 True Labels: [2]	 MINAS-BR Prediction: [1, 2]
Ex: 353	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 354	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 355	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 356	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 357	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 358	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 359	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 360	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 361	 True Labels: [2]	 MINAS-BR Prediction: [2]
Ex: 362	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2, 3]
Ex: 363	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 364	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 365	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 366	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 367	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
Ex: 368	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 369	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 370	 True Labels: [0]	 MINAS-BR Prediction: [0]
Ex: 371	 True Labels: [1, 2]	 MINAS-BR Prediction: [1, 2]
